Kanji,Furigana,Romaji,Meaning
Kanji,Furigana,Romaji,Meaning
あ,あ,a,"Ah!, Oh!"
ああ,ああ,aa,Ah!
挨拶,あいさつ,aisatsu,greeting
間,あいだ,aida,between
合う,あう,au,"fit, suit"
会う,あう,au,to meet
青い,あおい,aoi,blue
赤い,あかい,akai,red
赤ちゃん,あかちゃん,akachan,"baby, newborn"
上がる,あがる,agaru,to go up
明るい,あかるい,akarui,"light, bright"
赤ん坊,あかんぼう,akanbou,"baby, newborn"
秋,あき,aki,"autumn, fall"
開く,あく,aku,open
空く,あく,aku,"empty, has space"
開ける,あける,akeru,to open
上げる,あげる,ageru,to rise
,あげる,ageru,to give
朝,あさ,asa,morning
朝ご飯,あさごはん,asagohan,breakfast
あさって,あさって,asatte,the day after tomorrow
朝寝坊,あさねぼう,asanebou,a late riser
足,あし,ashi,"leg, foot"
味,あじ,aji,"taste, flavor"
明日,あした,ashita,tomorrow
明日,あす,asu,tomorrow (polite)
あそこ,あそこ,asoko,over there
遊ぶ,あそぶ,asobu,to play
温かい,あたたかい,atatakai,warm
頭,あたま,atama,head
新しい,あたらしい,atarashii,new
あちら,あちら,achira,over there (polite)
暑い,あつい,atsui,hot (air)
厚い,あつい,atsui,thick
後,あと,ato,"later, after"
貴方,あなた,anata,you
兄,あに,ani,older brother
姉,あね,ane,older sister
あの,あの,ano,that (over there)
あの,あの,ano,"well, then"
アパート,アパート,apaato,apartment
浴びる,あびる,abiru,to take a shower
危ない,あぶない,abunai,dangerous
甘い,あまい,amai,sweet
あまり,あまり,amari,not so
雨,あめ,ame,rain
洗う,あらう,arau,to wash
有る,ある,aru,"to be, to exist"
ある,ある,aru,to possess
歩く,ありく,aruku,to walk
あれ,あれ,are,that one
Kanji,Furigana,Romaji,Meaning
良い,いい / よい,"ii, yoi",good
いいえ,いいえ,iie,no
言う,いう,iu,"to say, to tell"
家,いえ,ie,"house, home"
行く,いく,iku,to go
いくつ,いくつ,ikutsu,"how many, how old"
いくら,いくら,ikura,how much
池,いけ,ike,pond
医者,いしゃ,isha,doctor
椅子,いす,isu,chair
忙しい,いそがしい,isogashii,to be busy
痛い,いたい,itai,to be painful
一,いち,ichi,one
一日,いちにち,ichinichi,one day
一番,いちばん,ichiban,"No. 1, the best, the first"
いつ,いつ,itsu,when
五日,いつか,itsuka,"the 5th day of the month, 5 days"
一緒,いっしょ,issho,together
五つ,いつつ,itsutsu,five
いつも,いつも,itsumo,always
今,いま,ima,now
意味,いみ,imi,meaning
妹,いもうと,imouto,someone’s younger sister
いや,いや,iya,"not likable, unpleasant"
入口,いりぐち,iriguchi,entrance
,いる,iru,"need, must have, be required"
,いる,iru,to exist
入れる,いれる,ireru,"to insert, to put in"
色,いろ,iro,color
色々,いろいろ,iroiro,various
Kanji,Furigana,Romaji,Meaning
上,うえ,ue,"top, on, above"
後ろ,うしろ,ushiro,"back, rear, behind"
薄い,うすい,usui,thin
歌,うた,uta,song
歌う,うたう,utau,to sing
内,うち,uchi,home
生まれる,うまれる,umareru,to be born
海,うみ,umi,sea
売る,うる,uru,to sell
上着,うわぎ,uwagi,"coat, jacket"
Kanji,Furigana,Romaji,Meaning
絵,え,e,picture
映画,えいが,eiga,movie
映画館,えいがかん,eigakan,cinema
英語,英語,eigo,English language
ええ,ええ,ee,"Yes, I see"
駅,えき,eki,station
エレベータ,エレベータ,erebeeta,elevator
円,えん,en,Yen
鉛筆,えんぴつ,enpitsu,pencil
Kanji,Furigana,Romaji,Meaning
御,お,o,honorific prefix
美味しい,おいしい,oishii,"tasty, delicious"
大きい,おおきい,ookii,big
,おおぜい,oozei,many people
お母さん,おかあさん,okaasan,my own mother
お菓子,okashi,okashi,"confectionary, cake"
お金,おかね,okane,money
起きる,おきる,okiru,"to get up, to stand up"
,おきる,okiru,to put
奥さん,おくさん,okusan,someone’s wife
送る,おくる,okuru,to send
お酒,おさけ,osake,"alcohol, sake"
お皿,おさら,osara,plate
伯父さん,おじさん,ojisan,uncle
おじいさん,おじいさん,ojiisan,grand father
押す,おす,osu,to push
遅い,おそい,osoi,"late, slow"
お茶,おちゃ,ocha,tea
お手洗い,おてあらい,otearai,"toilet, lavatory"
お父さん,おとうさん,otousan,father
弟,おとうと,otouto,someone’s younger brother
男,おとこ,otoko,man
男の子,おとこのこ,otokonoko,boy
一昨日,おととい,ototoi,the day before yesterday
一昨年,おととし,ototoshi,the year before last
大人,おとな,otona,adult
お腹,おなか,onaka,stomach
同じ,おなじ,onaji,same
お兄さん,おにいさん,oniisan,someone’s elder brother
お姉さん,おねえさん,oneesan,someone’s elder sister
伯母さん,おばさん,obasan,aunt
,おばあさん,obaasan,grandmother
お弁当,おべんとう,obentou,lunchbox
覚える,おぼえる,oboeru,"to memorize, to remember"
重い,おもい,omoi,heavy
面白い,おもしろい,omoshiroi,"interesting, funny"
泳ぐ,およぐ,oyogu,to swim
降りる,おりる,oriru,to get off
終わる,おわる,owaru,to end
音楽,おんがく,ongaku,music
女,おんな,onna,woman
女の子,おんなのこ,onnanoko,girl
Kanji,Furigana,Romaji,Meaning
〜回,〜かい,~kai,~times
〜階,〜かい,~kai,~floor
外国,がいこく,gaikoku,foreign country
外国人,がいこくじん,gaikokujin,foreigner
会社,かいしゃ,kaisha,"company, enterprise"
階段,かいだん,kaidan,stairs
買物,かいもの,kaimono,shopping
買う,かう,kau,to buy
返す,かえす,kaesu,to return an object
帰る,かえる,kaeru,to return home
顔,かお,kao,face
,かかる,kakaru,"to take time, money"
鍵,かぎ,kagi,key
書く,かく,kaku,to write
学生,がくせい,gakusei,student
〜か月,〜かげつ,~kagetsu,~ number of months
,かける,kakeru,to wear
,かける,kakeru,to make a phone call
傘,かさ,kasa,umbrella
貸す,かす,kasu,to lend
風,かぜ,kaze,wind
風邪,かぜ,kaze,a cold
家族,かぞく,kazoku,family
方,かた,kata,person (polite)
片仮名,かたかな,katakana,Katakana
一月,いちがつ,ichigatsu,January
二月,にがつ,nigatsu,February
三月,さんがつ,sangatsu,March
四月,しがつ,shigatsu,April
五月,ごがつ,gogatsu,May
六月,ろくがつ,rokugatsu,June
七月,しちがつ,shichigatsu,July
八月,はちがつ,hachigatsu,August
九月,くがつ,kugatsu,September
十月,じゅうがつ,juugatsu,October
十一月,じゅういちがつ,juuichigatsu,November
十二月,じゅうにがつ,juunigatsu,December
学校,がっこう,gakkou,school
角,かど,kado,corner
家内,かない,kanai,my wife
鞄,かばん,kaban,bag
花瓶,かびん,kabin,vase
冠る,かぶる,kaburu,to put on a hat
紙,かみ,kami,paper
カメラ,かめら,kamera,camera
火曜日,かようび,kayoubi,Tuesday
辛い,からい,karai,"hot, spicy"
体,からだ,karada,body
借りる,かりる,kariru,to borrow
,〜がります,~garimasu,3rd person wants to
軽い,かるい,karui,light (not heavy)
カレンダー,カレンダー,karendaa,calendar
川,かわ,kawa,river
〜側,~がわ,~gawa,~side
可愛い,かわいい,kawaii,"cute, pretty"
漢字,かんじ,kanji,Kanji character
Kanji,Furigana,Romaji,Meaning
気,き,ki,"Spirit, mood"
機会,きかい,kikai,Opportunity
危険,きけん,Kiken,Danger
聞こえる,きこえる,kikoeru,to be heard
汽車,きしゃ,kisha,steam train
技術,ぎじゅつ,gijyutsu,"Skill, art, technique"
季節,きせつ,kisetsu,season
規則,きそく,kisoku,regulations
,きっと,kitto,surely
絹,きぬ,kinu,Silk
厳しい,きびしい,kibishii,strict
気分,きぶん,kibun,mood
決まる,きまる,kimaru,to be decided
君,きみ,kimi,You (informal)
決める,きめる,kimeru,to decide
気持ち,きもち,kimochi,"feeling, mood"
着物,きもの,kimono,a kimono
客,きゃく,kyaku,"guest, customer"
急,きゅう,kyuu,urgent
急行,きゅうこう,kyuukou,"speedy, express"
教育,きょういく,kyouiku,education
教会,きょうかい,kyoukai,church
競争,きょうそう,kyousou,competition
興味,きょうみ,kyoumi,an interest
近所,きんじょ,kinjo,neighbourhood
,,,
Kanji,Furigana,Romaji,Meaning
具合,ぐあい,guai,"condition, health"
空気,くうき,kuuki,"air, atmosphere"
